region,street,area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,nettPrice
CCR,SHENTON WAY,41,16-20,1,0417,2,1020000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,89,46-50,1,0616,1,2158000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,44,46-50,1,0317,1,1283355,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,102,31-35,1,0817,2,2138000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,126,36-40,1,1217,1,3403620,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,112,41-45,1,1018,1,2677185,Apartment,01,Strata,99 yrs lease commencing from 2011,2667185
CCR,SHENTON WAY,89,36-40,1,0218,2,2090000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,42,46-50,1,1218,2,1140000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,113,41-45,1,0417,1,2362000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,112,36-40,1,0417,1,2538495,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,45,11-15,1,0118,2,1180000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,141,36-40,1,0319,1,3150000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,163,41-45,1,0518,1,3849120,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,141,41-45,1,1218,1,3258800,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,113,41-45,1,0519,1,2487680,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,126,41-45,1,1218,1,3155000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,141,41-45,1,0720,3,3324800,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,142,26-30,1,0517,1,3000000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,142,41-45,1,1117,1,3800000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,126,46-50,1,0719,1,3290240,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,113,46-50,1,0318,1,2800000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,69,21-25,1,0617,1,1684620,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,89,51-55,1,1119,3,2343520,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,126,46-50,1,0220,3,3320000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,113,51-55,1,1119,3,2660000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,163,36-40,1,0917,1,3462960,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,69,26-30,1,1016,1,1636188,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,141,36-40,1,0620,3,3238400,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,141,46-50,1,0620,3,3490000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,141,46-50,1,0620,3,3518000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,141,51-55,1,0620,3,3588000,Apartment,01,Strata,99 yrs lease commencing from 2011,
