region,street,area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,project,x,y,nettPrice
CCR,SHENTON WAY,112.0,41-45,1,1018,1,2654505,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,2644505.0
CCR,SHENTON WAY,69.0,21-25,1,417,1,1620000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,112.0,41-45,1,219,1,2855680,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,2847680.0
CCR,SHENTON WAY,113.0,41-45,1,716,1,2470500,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,42.0,26-30,1,816,1,1132200,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,42.0,31-35,1,1016,1,1146965,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,41.0,16-20,1,417,2,1020000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,102.0,31-35,1,817,2,2138000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,89.0,46-50,1,616,1,2158000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,112.0,41-45,1,1018,1,2677185,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,2667185.0
CCR,SHENTON WAY,44.0,46-50,1,317,1,1283355,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,42.0,46-50,1,1218,2,1140000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,113.0,41-45,1,417,1,2362000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,89.0,36-40,1,218,2,2090000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,126.0,36-40,1,1217,1,3403620,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,112.0,36-40,1,417,1,2538495,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,45.0,11-15,1,118,2,1180000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,141.0,41-45,1,1218,1,3258800,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,141.0,36-40,1,319,1,3150000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,163.0,41-45,1,518,1,3849120,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,126.0,41-45,1,1218,1,3155000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,141.0,41-45,1,720,3,3324800,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,113.0,41-45,1,519,1,2487680,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,142.0,26-30,1,517,1,3000000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,142.0,41-45,1,1117,1,3800000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,113.0,46-50,1,318,1,2800000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,126.0,46-50,1,719,1,3290240,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,69.0,21-25,1,617,1,1684620,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,89.0,51-55,1,1119,3,2343520,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,126.0,46-50,1,220,3,3320000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,69.0,26-30,1,1016,1,1636188,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,163.0,36-40,1,917,1,3462960,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,113.0,51-55,1,1119,3,2660000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,141.0,36-40,1,620,3,3238400,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,141.0,46-50,1,620,3,3490000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,44.0,46-50,1,1016,1,1350800,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,112.0,46-50,1,1019,3,2972080,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,44.0,06-10,1,119,2,1130000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,141.0,46-50,1,620,3,3518000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,141.0,51-55,1,620,3,3588000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,126.0,51-55,1,620,3,3300000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,141.0,41-45,1,320,3,3400000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,113.0,46-50,1,218,1,2889600,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,113.0,46-50,1,1219,3,2650000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,126.0,46-50,1,720,3,3148000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,98.0,31-35,1,820,3,2000000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,141.0,46-50,1,620,3,3548000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,126.0,46-50,1,620,3,3280000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,82.0,51-55,1,519,1,2130000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
