district,propertyType,contractDate,tenure,per_meter_square,typeOfArea
1,Condominium,06-2020,99-years,19696.97,Strata
1,Condominium,07-2020,99-years,21739.13,Strata
1,Condominium,12-2019,99-years,25836.73,Strata
1,Condominium,08-2018,99-years,26315.79,Strata
1,Condominium,04-2019,99-years,23478.26,Strata
1,Condominium,01-2021,99-years,21363.64,Strata
2,Apartment,05-2017,99-years,19615.38,Strata
2,Apartment,11-2020,99-years,17692.31,Strata
2,Apartment,09-2020,99-years,17230.77,Strata
2,Apartment,09-2020,99-years,17123.29,Strata
2,Apartment,10-2020,99-years,17302.33,Strata
2,Apartment,10-2020,99-years,17777.78,Strata
2,Apartment,01-2021,99-years,17692.31,Strata
2,Apartment,12-2020,99-years,18634.62,Strata
2,Apartment,12-2020,99-years,18679.25,Strata
2,Apartment,10-2020,99-years,20000.0,Strata
2,Apartment,10-2020,99-years,17295.08,Strata
2,Apartment,10-2020,99-years,16438.36,Strata
2,Apartment,09-2016,99-years,17176.47,Strata
2,Apartment,09-2016,99-years,18867.92,Strata
2,Apartment,02-2016,99-years,18836.78,Strata
2,Apartment,04-2017,99-years,19814.81,Strata
2,Apartment,12-2016,99-years,17370.37,Strata
2,Apartment,02-2018,99-years,20370.37,Strata
2,Apartment,01-2017,99-years,18641.51,Strata
2,Apartment,03-2017,99-years,19230.77,Strata
2,Apartment,07-2017,99-years,17123.29,Strata
2,Apartment,07-2017,99-years,16309.52,Strata
2,Apartment,07-2017,99-years,19056.6,Strata
2,Apartment,03-2016,99-years,20769.23,Strata
2,Apartment,08-2016,99-years,19444.44,Strata
2,Apartment,03-2016,99-years,16559.14,Strata
2,Apartment,04-2017,99-years,19038.46,Strata
2,Apartment,12-2017,99-years,17952.38,Strata
2,Apartment,04-2016,99-years,20192.31,Strata
2,Apartment,04-2017,99-years,19326.92,Strata
2,Apartment,07-2017,99-years,17507.69,Strata
2,Apartment,05-2018,99-years,21132.08,Strata
2,Apartment,05-2016,99-years,16494.85,Strata
2,Apartment,02-2017,99-years,16046.51,Strata
2,Apartment,05-2017,99-years,18505.75,Strata
2,Apartment,07-2018,99-years,21886.79,Strata
2,Apartment,01-2017,99-years,16860.47,Strata
2,Apartment,08-2016,99-years,18641.51,Strata
2,Apartment,06-2016,99-years,17441.86,Strata
2,Apartment,10-2016,99-years,18598.28,Strata
2,Apartment,12-2016,99-years,18907.41,Strata
2,Apartment,06-2017,99-years,19444.44,Strata
2,Apartment,08-2017,99-years,18076.92,Strata
2,Apartment,11-2017,99-years,19230.77,Strata
2,Apartment,06-2016,99-years,19814.81,Strata
2,Apartment,06-2017,99-years,17936.51,Strata
2,Apartment,11-2016,99-years,19444.44,Strata
2,Apartment,03-2017,99-years,18425.93,Strata
2,Apartment,03-2019,99-years,17956.99,Strata
2,Apartment,10-2016,99-years,14024.39,Strata
2,Apartment,06-2017,99-years,14862.39,Strata
2,Apartment,10-2017,99-years,19584.91,Strata
2,Apartment,03-2016,99-years,18620.69,Strata
2,Apartment,06-2017,99-years,18653.85,Strata
2,Apartment,09-2016,99-years,19882.43,Strata
2,Apartment,02-2018,99-years,13913.04,Strata
2,Apartment,09-2017,99-years,18219.18,Strata
2,Apartment,11-2017,99-years,17440.48,Strata
2,Apartment,07-2017,99-years,18214.29,Strata
2,Apartment,03-2018,99-years,20370.37,Strata
2,Apartment,05-2017,99-years,19000.0,Strata
2,Apartment,04-2019,99-years,18584.91,Strata
2,Apartment,05-2018,99-years,18153.85,Strata
2,Apartment,02-2018,99-years,19770.11,Strata
2,Apartment,05-2017,99-years,17209.3,Strata
2,Apartment,08-2019,99-years,19716.98,Strata
2,Apartment,01-2019,99-years,18103.45,Strata
2,Apartment,12-2018,99-years,17241.38,Strata
2,Apartment,06-2017,99-years,17230.77,Strata
2,Apartment,05-2017,99-years,17049.18,Strata
2,Apartment,12-2016,99-years,14224.14,Strata
2,Apartment,07-2019,99-years,19404.76,Strata
2,Apartment,02-2018,99-years,19230.77,Strata
2,Apartment,05-2017,99-years,18888.89,Strata
2,Apartment,02-2018,99-years,19584.91,Strata
2,Apartment,11-2017,99-years,18983.61,Strata
2,Apartment,05-2017,99-years,17356.32,Strata
2,Apartment,11-2017,99-years,17170.13,Strata
2,Apartment,09-2016,99-years,16543.21,Strata
2,Apartment,03-2017,99-years,17000.0,Strata
2,Apartment,04-2018,99-years,20377.36,Strata
2,Apartment,08-2019,99-years,18205.13,Strata
2,Apartment,05-2016,99-years,17163.46,Strata
2,Apartment,04-2018,99-years,20000.0,Strata
2,Apartment,09-2019,99-years,19444.44,Strata
2,Apartment,03-2018,99-years,20000.0,Strata
2,Apartment,12-2017,99-years,19195.4,Strata
2,Apartment,06-2017,99-years,18524.59,Strata
2,Apartment,05-2019,99-years,17836.07,Strata
2,Apartment,07-2018,99-years,21320.75,Strata
2,Apartment,08-2019,99-years,19074.07,Strata
2,Apartment,08-2018,99-years,19412.51,Strata
2,Apartment,10-2017,99-years,19433.96,Strata
2,Apartment,02-2019,99-years,20370.37,Strata
2,Apartment,08-2017,99-years,19259.26,Strata
2,Apartment,09-2017,99-years,19074.07,Strata
2,Apartment,05-2019,99-years,18425.93,Strata
2,Apartment,01-2018,99-years,20000.0,Strata
2,Apartment,08-2016,99-years,17384.62,Strata
2,Apartment,10-2017,99-years,16082.47,Strata
2,Apartment,04-2018,99-years,21153.85,Strata
2,Apartment,04-2017,99-years,16649.48,Strata
2,Apartment,07-2019,99-years,17622.95,Strata
2,Apartment,09-2016,99-years,20192.31,Strata
2,Apartment,05-2018,99-years,16986.3,Strata
2,Apartment,10-2018,99-years,19629.63,Strata
2,Apartment,06-2016,99-years,20192.31,Strata
2,Apartment,03-2020,99-years,18301.89,Strata
2,Apartment,04-2020,99-years,18041.24,Strata
2,Apartment,02-2020,99-years,15432.1,Strata
2,Apartment,06-2017,99-years,18390.8,Strata
2,Apartment,05-2018,99-years,18476.92,Strata
2,Apartment,11-2017,99-years,15697.48,Strata
2,Apartment,01-2018,99-years,19769.23,Strata
2,Apartment,05-2019,99-years,19711.54,Strata
2,Apartment,10-2017,99-years,18163.93,Strata
2,Apartment,05-2018,99-years,18769.23,Strata
2,Apartment,02-2017,99-years,18312.74,Strata
2,Apartment,12-2018,99-years,15912.1,Strata
2,Apartment,05-2020,99-years,18530.93,Strata
2,Apartment,11-2018,99-years,20114.94,Strata
2,Apartment,02-2020,99-years,18488.37,Strata
2,Apartment,12-2019,99-years,15526.32,Strata
2,Apartment,03-2018,99-years,17534.25,Strata
2,Apartment,03-2019,99-years,18518.52,Strata
2,Apartment,03-2020,99-years,19615.38,Strata
2,Apartment,06-2020,99-years,18023.26,Strata
2,Apartment,11-2016,99-years,19230.77,Strata
2,Apartment,04-2018,99-years,18655.74,Strata
2,Apartment,05-2019,99-years,19615.38,Strata
2,Apartment,03-2020,99-years,18823.53,Strata
2,Apartment,12-2019,99-years,16027.4,Strata
2,Apartment,07-2019,99-years,15185.19,Strata
2,Apartment,09-2017,99-years,19080.46,Strata
2,Apartment,02-2018,99-years,19418.6,Strata
2,Apartment,03-2018,99-years,19407.41,Strata
2,Apartment,08-2020,99-years,18923.08,Strata
2,Apartment,01-2021,99-years,18301.89,Strata
2,Apartment,01-2021,99-years,18095.24,Strata
2,Apartment,01-2021,99-years,18321.43,Strata
1,Apartment,09-2020,Freehold,25531.91,Strata
1,Apartment,09-2018,Freehold,26732.67,Strata
1,Apartment,07-2018,Freehold,24000.0,Strata
1,Apartment,04-2018,Freehold,29649.12,Strata
1,Apartment,08-2019,Freehold,26902.17,Strata
1,Apartment,03-2019,Freehold,28444.44,Strata
1,Apartment,01-2020,Freehold,26913.04,Strata
7,Apartment,07-2019,999-years,18681.32,Strata
7,Apartment,07-2019,999-years,17934.78,Strata
1,Apartment,05-2018,99-years,22222.22,Strata
1,Apartment,05-2016,99-years,17049.18,Strata
1,Apartment,10-2020,99-years,17704.92,Strata
1,Apartment,11-2020,99-years,17460.32,Strata
1,Apartment,10-2020,99-years,15609.76,Strata
1,Apartment,10-2020,99-years,19125.68,Strata
